#,ประชาธิปัตย์:150,พลังประชารัฐ:150,อนาคตใหม่:150,ประชาชาติ:150,ภูมิใจไทย:150,เสรีรวมไทย:150,รวมพลังประชาชาติไทย:150,แทนคุณแผ่นดิน:150,เศรษฐกิจใหม่:150,ชาติไทยพัฒนา:150,เพื่อชาติ:150,กรีน:150,ประชาธิปไตยใหม่:150,พลังไทยรักไทย:150,ประชาภิวัฒน์:150,พลังสังคม:150,รักษ์ผืนป่าประเทศไทย:150,ความหวังใหม่:150,พลังชาติไทย:150,ภราดรภาพ:150,ถิ่นกาขาวชาววิไล:150,พลังไทยรักชาติ:150,พลังท้องถิ่นไท:150,ไทยศรีวิไลย์:150,พลังธรรมใหม่:150,ชาติพัฒนา:150,ประชานิยม:150,ไทรักธรรม:150,คลองไทย:150,ครูไทยเพื่อประชาชน:150,เพื่อแผ่นดิน:150,ประชาชนปฏิรูป:150,ไทยรักษาชาติ:150,เพื่อไทย:150,พลังศรัทธา:150,แผ่นดินธรรม:150,ทางเลือกใหม่:150,ประชาธรรมไทย:150,พลังไทสร้างชาติ:150,มหาชน:150,ภาคเครือข่ายไทย:150,มติประชา:150,พลังประชาธิปไตย:150,สามัญชน:150,กลาง:150,ประชากรไทย:150,พลังรัก:150,พลเมืองไทย:150,ชาติพันธุ์ไทย:150,พลังปวงชนไทย:150,ประชาไทย:150,เพื่อนไทย:150,สยามพัฒนา:150,อนาคตไทย:150,ไทยรุ่งเรือง:150,เครือข่ายชาวนาแห่งประเทศไทย:150,เพื่อชีวิตใหม่:150,ภูมิพลังเกษตรกรไทย:150,เพื่อคนไทย:150,ฐานรากไทย:150,ไทยธรรม:150,ผงึ้ หลวง:150,เพอื่ สหกรณ์ไทย:150,เพื่อไทยพัฒนา:150,พลังครูไทย:150,ประชาธิปไตยเพื่อประชาชน:150,รวมใจไทย:150,รักท้องถิ่นไทย:150,พลังไทยดี:150,สังคมประชาธิปไตยไทย:150,พลังแรงงานไทย:150,เพื่อธรรม:150,รักษ์ธรรม:150,พลังแผ่นดินทอง:150,ยางพาราไทย:150,พลังสหกรณ์:150,คนธรรมดาแห่งประเทศไทย:150,พัฒนาประเทศไทย:150,คนงานไทย:150,พลังคนกีฬา:150,กสิกรไทย:150
เชียงใหม่-5,4816,29170,27940,504,931,2550,245,318,1347,318,1292,0,0,299,482,0,505,0,438,307,0,0,1761,499,252,0,177,77,0,231,96,409,0,41169,0,141,0,216,0,58,0,0,0,0,0,91,49,0,312,187,130,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0
เชียงใหม่-6,4532,12944,17377,251,219,983,274,28,866,568,569,60,166,109,280,0,333,0,153,61,0,0,1062,187,273,151,55,34,0,387,49,40,0,23576,0,0,0,0,0,117,0,0,161,0,0,77,59,0,122,1149,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
เชียงใหม่-7,3440,8719,19729,0,18925,1032,202,237,0,457,478,0,0,144,645,0,537,0,269,72,0,0,613,299,576,633,130,52,0,273,0,98,0,27477,0,0,0,89,0,131,0,0,0,0,0,520,132,0,163,332,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
เชียงใหม่-8,2508,39221,29556,594,677,1864,242,0,1246,131,362,317,0,139,119,0,440,0,500,132,0,0,538,0,175,0,86,57,0,231,0,54,0,52165,0,0,0,125,0,55,0,0,0,0,0,459,868,0,106,790,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,52,0,0,0,0,0
เชียงใหม่-9,4692,32532,17558,1242,1064,1055,625,157,452,852,0,231,206,946,1574,0,481,0,643,188,0,0,708,303,667,0,111,95,0,188,160,220,0,39390,0,979,0,74,0,175,0,0,0,0,0,0,108,0,114,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0
ตรัง-1,38332,39416,17371,1395,1380,2664,618,0,2491,1338,706,281,958,264,0,0,217,281,412,0,52,0,10017,0,690,594,470,303,1707,125,0,248,0,0,0,0,760,105,226,0,251,0,282,0,0,0,0,149,0,303,78,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0
ตรัง-2,47640,33457,10427,1113,3468,2848,264,0,936,1028,486,230,401,879,0,0,148,84,758,0,48,0,12268,0,217,616,315,79,486,119,0,205,0,0,0,71,452,117,215,0,31,0,269,0,0,0,0,157,0,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0
ตรัง-3,51602,31019,13038,2879,3541,2158,301,0,1267,483,754,321,998,0,0,224,98,460,211,0,92,0,5183,0,533,302,260,191,350,77,0,509,0,0,0,81,894,281,311,0,326,0,567,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0
ตราด-1,30642,23417,36744,1409,6310,5667,2861,0,1997,235,2786,0,0,0,189,275,498,0,225,0,0,0,324,436,0,1433,513,132,0,256,0,0,0,0,0,0,400,548,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ตาก-1,16142,43787,19664,279,9217,2298,680,145,0,595,10954,224,0,584,363,0,218,0,507,0,0,0,757,0,0,0,79,138,0,163,0,53,0,0,0,0,0,229,0,0,0,0,271,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
